base        rep  M   N    OS         type  no  group  Source      Name
01          0    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
01          1    15  15   0.135238   PSS   NA  NA     NasiriPSS   PSSata
01          2    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
01          3    15  15   0.16127    PSS   NA  NA     NasiriPSS   PSSata
01          4    15  15   0.140952   PSS   NA  NA     NasiriPSS   PSSata
01          5    15  15   0.0952381  PSS   NA  NA     NasiriPSS   PSSata
01          6    15  15   0.11873    PSS   NA  NA     NasiriPSS   PSSata
01          7    15  15   0.148571   PSS   NA  NA     NasiriPSS   PSSata
01          8    15  15   0.150476   PSS   NA  NA     NasiriPSS   PSSata
01          9    15  15   0.11746    PSS   NA  NA     NasiriPSS   PSSata
02          0    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
02          1    15  15   0.135238   PSS   NA  NA     NasiriPSS   PSSata
02          2    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
02          3    15  15   0.16127    PSS   NA  NA     NasiriPSS   PSSata
02          4    15  15   0.140952   PSS   NA  NA     NasiriPSS   PSSata
02          5    15  15   0.0952381  PSS   NA  NA     NasiriPSS   PSSata
02          6    15  15   0.11873    PSS   NA  NA     NasiriPSS   PSSata
02          7    15  15   0.148571   PSS   NA  NA     NasiriPSS   PSSata
02          8    15  15   0.150476   PSS   NA  NA     NasiriPSS   PSSata
02          9    15  15   0.11746    PSS   NA  NA     NasiriPSS   PSSata
03          0    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
03          1    15  15   0.135238   PSS   NA  NA     NasiriPSS   PSSata
03          2    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
03          3    15  15   0.16127    PSS   NA  NA     NasiriPSS   PSSata
03          4    15  15   0.140952   PSS   NA  NA     NasiriPSS   PSSata
03          5    15  15   0.0952381  PSS   NA  NA     NasiriPSS   PSSata
03          6    15  15   0.11873    PSS   NA  NA     NasiriPSS   PSSata
03          7    15  15   0.148571   PSS   NA  NA     NasiriPSS   PSSata
03          8    15  15   0.150476   PSS   NA  NA     NasiriPSS   PSSata
03          9    15  15   0.11746    PSS   NA  NA     NasiriPSS   PSSata
04          0    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
04          1    15  15   0.135238   PSS   NA  NA     NasiriPSS   PSSata
04          2    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
04          3    15  15   0.16127    PSS   NA  NA     NasiriPSS   PSSata
04          4    15  15   0.140952   PSS   NA  NA     NasiriPSS   PSSata
04          5    15  15   0.0952381  PSS   NA  NA     NasiriPSS   PSSata
04          6    15  15   0.11873    PSS   NA  NA     NasiriPSS   PSSata
04          7    15  15   0.148571   PSS   NA  NA     NasiriPSS   PSSata
04          8    15  15   0.150476   PSS   NA  NA     NasiriPSS   PSSata
04          9    15  15   0.11746    PSS   NA  NA     NasiriPSS   PSSata
05          0    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
05          1    15  15   0.135238   PSS   NA  NA     NasiriPSS   PSSata
05          2    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
05          3    15  15   0.16127    PSS   NA  NA     NasiriPSS   PSSata
05          4    15  15   0.140952   PSS   NA  NA     NasiriPSS   PSSata
05          5    15  15   0.0952381  PSS   NA  NA     NasiriPSS   PSSata
05          6    15  15   0.11873    PSS   NA  NA     NasiriPSS   PSSata
05          7    15  15   0.148571   PSS   NA  NA     NasiriPSS   PSSata
05          8    15  15   0.150476   PSS   NA  NA     NasiriPSS   PSSata
05          9    15  15   0.11746    PSS   NA  NA     NasiriPSS   PSSata
06          0    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
06          1    15  15   0.135238   PSS   NA  NA     NasiriPSS   PSSata
06          2    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
06          3    15  15   0.16127    PSS   NA  NA     NasiriPSS   PSSata
06          4    15  15   0.140952   PSS   NA  NA     NasiriPSS   PSSata
06          5    15  15   0.0952381  PSS   NA  NA     NasiriPSS   PSSata
06          6    15  15   0.11873    PSS   NA  NA     NasiriPSS   PSSata
06          7    15  15   0.148571   PSS   NA  NA     NasiriPSS   PSSata
06          8    15  15   0.150476   PSS   NA  NA     NasiriPSS   PSSata
06          9    15  15   0.11746    PSS   NA  NA     NasiriPSS   PSSata
07          0    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
07          1    15  15   0.135238   PSS   NA  NA     NasiriPSS   PSSata
07          2    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
07          3    15  15   0.16127    PSS   NA  NA     NasiriPSS   PSSata
07          4    15  15   0.140952   PSS   NA  NA     NasiriPSS   PSSata
07          5    15  15   0.0952381  PSS   NA  NA     NasiriPSS   PSSata
07          6    15  15   0.11873    PSS   NA  NA     NasiriPSS   PSSata
07          7    15  15   0.148571   PSS   NA  NA     NasiriPSS   PSSata
07          8    15  15   0.150476   PSS   NA  NA     NasiriPSS   PSSata
07          9    15  15   0.11746    PSS   NA  NA     NasiriPSS   PSSata
08          0    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
08          1    15  15   0.135238   PSS   NA  NA     NasiriPSS   PSSata
08          2    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
08          3    15  15   0.16127    PSS   NA  NA     NasiriPSS   PSSata
08          4    15  15   0.140952   PSS   NA  NA     NasiriPSS   PSSata
08          5    15  15   0.0952381  PSS   NA  NA     NasiriPSS   PSSata
08          6    15  15   0.11873    PSS   NA  NA     NasiriPSS   PSSata
08          7    15  15   0.148571   PSS   NA  NA     NasiriPSS   PSSata
08          8    15  15   0.150476   PSS   NA  NA     NasiriPSS   PSSata
08          9    15  15   0.11746    PSS   NA  NA     NasiriPSS   PSSata
09          0    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
09          1    15  15   0.135238   PSS   NA  NA     NasiriPSS   PSSata
09          2    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
09          3    15  15   0.16127    PSS   NA  NA     NasiriPSS   PSSata
09          4    15  15   0.140952   PSS   NA  NA     NasiriPSS   PSSata
09          5    15  15   0.0952381  PSS   NA  NA     NasiriPSS   PSSata
09          6    15  15   0.11873    PSS   NA  NA     NasiriPSS   PSSata
09          7    15  15   0.148571   PSS   NA  NA     NasiriPSS   PSSata
09          8    15  15   0.150476   PSS   NA  NA     NasiriPSS   PSSata
09          9    15  15   0.11746    PSS   NA  NA     NasiriPSS   PSSata
10          0    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
10          1    15  15   0.135238   PSS   NA  NA     NasiriPSS   PSSata
10          2    15  15   0.146667   PSS   NA  NA     NasiriPSS   PSSata
10          3    15  15   0.16127    PSS   NA  NA     NasiriPSS   PSSata
10          4    15  15   0.140952   PSS   NA  NA     NasiriPSS   PSSata
10          5    15  15   0.0952381  PSS   NA  NA     NasiriPSS   PSSata
10          6    15  15   0.11873    PSS   NA  NA     NasiriPSS   PSSata
10          7    15  15   0.148571   PSS   NA  NA     NasiriPSS   PSSata
10          8    15  15   0.150476   PSS   NA  NA     NasiriPSS   PSSata
10          9    15  15   0.11746    PSS   NA  NA     NasiriPSS   PSSata
11          0    15  20   0.122857   PSS   NA  NA     NasiriPSS   PSSata
11          1    15  20   0.14       PSS   NA  NA     NasiriPSS   PSSata
11          2    15  20   0.14619    PSS   NA  NA     NasiriPSS   PSSata
11          3    15  20   0.160952   PSS   NA  NA     NasiriPSS   PSSata
11          4    15  20   0.164762   PSS   NA  NA     NasiriPSS   PSSata
11          5    15  20   0.134286   PSS   NA  NA     NasiriPSS   PSSata
11          6    15  20   0.146667   PSS   NA  NA     NasiriPSS   PSSata
11          7    15  20   0.109048   PSS   NA  NA     NasiriPSS   PSSata
11          8    15  20   0.104286   PSS   NA  NA     NasiriPSS   PSSata
11          9    15  20   0.127143   PSS   NA  NA     NasiriPSS   PSSata
12          0    15  20   0.122857   PSS   NA  NA     NasiriPSS   PSSata
12          1    15  20   0.14       PSS   NA  NA     NasiriPSS   PSSata
12          2    15  20   0.14619    PSS   NA  NA     NasiriPSS   PSSata
12          3    15  20   0.160952   PSS   NA  NA     NasiriPSS   PSSata
12          4    15  20   0.164762   PSS   NA  NA     NasiriPSS   PSSata
12          5    15  20   0.134286   PSS   NA  NA     NasiriPSS   PSSata
12          6    15  20   0.146667   PSS   NA  NA     NasiriPSS   PSSata
12          7    15  20   0.109048   PSS   NA  NA     NasiriPSS   PSSata
12          8    15  20   0.104286   PSS   NA  NA     NasiriPSS   PSSata
12          9    15  20   0.127143   PSS   NA  NA     NasiriPSS   PSSata
13          0    15  20   0.122857   PSS   NA  NA     NasiriPSS   PSSata
13          1    15  20   0.14       PSS   NA  NA     NasiriPSS   PSSata
13          2    15  20   0.14619    PSS   NA  NA     NasiriPSS   PSSata
13          3    15  20   0.160952   PSS   NA  NA     NasiriPSS   PSSata
13          4    15  20   0.164762   PSS   NA  NA     NasiriPSS   PSSata
13          5    15  20   0.134286   PSS   NA  NA     NasiriPSS   PSSata
13          6    15  20   0.146667   PSS   NA  NA     NasiriPSS   PSSata
13          7    15  20   0.109048   PSS   NA  NA     NasiriPSS   PSSata
13          8    15  20   0.104286   PSS   NA  NA     NasiriPSS   PSSata
13          9    15  20   0.127143   PSS   NA  NA     NasiriPSS   PSSata
14          0    15  20   0.122857   PSS   NA  NA     NasiriPSS   PSSata
14          1    15  20   0.14       PSS   NA  NA     NasiriPSS   PSSata
14          2    15  20   0.14619    PSS   NA  NA     NasiriPSS   PSSata
14          3    15  20   0.160952   PSS   NA  NA     NasiriPSS   PSSata
14          4    15  20   0.164762   PSS   NA  NA     NasiriPSS   PSSata
14          5    15  20   0.134286   PSS   NA  NA     NasiriPSS   PSSata
14          6    15  20   0.146667   PSS   NA  NA     NasiriPSS   PSSata
14          7    15  20   0.109048   PSS   NA  NA     NasiriPSS   PSSata
14          8    15  20   0.104286   PSS   NA  NA     NasiriPSS   PSSata
14          9    15  20   0.127143   PSS   NA  NA     NasiriPSS   PSSata
15          0    15  20   0.122857   PSS   NA  NA     NasiriPSS   PSSata
15          1    15  20   0.14       PSS   NA  NA     NasiriPSS   PSSata
15          2    15  20   0.14619    PSS   NA  NA     NasiriPSS   PSSata
15          3    15  20   0.160952   PSS   NA  NA     NasiriPSS   PSSata
15          4    15  20   0.164762   PSS   NA  NA     NasiriPSS   PSSata
15          5    15  20   0.134286   PSS   NA  NA     NasiriPSS   PSSata
15          6    15  20   0.146667   PSS   NA  NA     NasiriPSS   PSSata
15          7    15  20   0.109048   PSS   NA  NA     NasiriPSS   PSSata
15          8    15  20   0.104286   PSS   NA  NA     NasiriPSS   PSSata
15          9    15  20   0.127143   PSS   NA  NA     NasiriPSS   PSSata
16          0    15  20   0.122857   PSS   NA  NA     NasiriPSS   PSSata
16          1    15  20   0.14       PSS   NA  NA     NasiriPSS   PSSata
16          2    15  20   0.14619    PSS   NA  NA     NasiriPSS   PSSata
16          3    15  20   0.160952   PSS   NA  NA     NasiriPSS   PSSata
16          4    15  20   0.164762   PSS   NA  NA     NasiriPSS   PSSata
16          5    15  20   0.134286   PSS   NA  NA     NasiriPSS   PSSata
16          6    15  20   0.146667   PSS   NA  NA     NasiriPSS   PSSata
16          7    15  20   0.109048   PSS   NA  NA     NasiriPSS   PSSata
16          8    15  20   0.104286   PSS   NA  NA     NasiriPSS   PSSata
16          9    15  20   0.127143   PSS   NA  NA     NasiriPSS   PSSata
17          0    15  20   0.122857   PSS   NA  NA     NasiriPSS   PSSata
17          1    15  20   0.14       PSS   NA  NA     NasiriPSS   PSSata
17          2    15  20   0.14619    PSS   NA  NA     NasiriPSS   PSSata
17          3    15  20   0.160952   PSS   NA  NA     NasiriPSS   PSSata
17          4    15  20   0.164762   PSS   NA  NA     NasiriPSS   PSSata
17          5    15  20   0.134286   PSS   NA  NA     NasiriPSS   PSSata
