base rep M N OS type no group Source
01 0  15 15 0.146667 PSS NA NA NasiriPSS
01 1  15 15 0.135238 PSS NA NA NasiriPSS
01 2  15 15 0.146667 PSS NA NA NasiriPSS
01 3  15 15 0.16127 PSS NA NA NasiriPSS
01 4  15 15 0.140952 PSS NA NA NasiriPSS
01 5  15 15 0.0952381 PSS NA NA NasiriPSS
01 6  15 15 0.11873 PSS NA NA NasiriPSS
01 7  15 15 0.148571 PSS NA NA NasiriPSS
01 8  15 15 0.150476 PSS NA NA NasiriPSS
01 9  15 15 0.11746 PSS NA NA NasiriPSS
02 0  15 15 0.146667 PSS NA NA NasiriPSS
02 1  15 15 0.135238 PSS NA NA NasiriPSS
02 2  15 15 0.146667 PSS NA NA NasiriPSS
02 3  15 15 0.16127 PSS NA NA NasiriPSS
02 4  15 15 0.140952 PSS NA NA NasiriPSS
02 5  15 15 0.0952381 PSS NA NA NasiriPSS
02 6  15 15 0.11873 PSS NA NA NasiriPSS
02 7  15 15 0.148571 PSS NA NA NasiriPSS
02 8  15 15 0.150476 PSS NA NA NasiriPSS
02 9  15 15 0.11746 PSS NA NA NasiriPSS
03 0  15 15 0.146667 PSS NA NA NasiriPSS
03 1  15 15 0.135238 PSS NA NA NasiriPSS
03 2  15 15 0.146667 PSS NA NA NasiriPSS
03 3  15 15 0.16127 PSS NA NA NasiriPSS
03 4  15 15 0.140952 PSS NA NA NasiriPSS
03 5  15 15 0.0952381 PSS NA NA NasiriPSS
03 6  15 15 0.11873 PSS NA NA NasiriPSS
03 7  15 15 0.148571 PSS NA NA NasiriPSS
03 8  15 15 0.150476 PSS NA NA NasiriPSS
03 9  15 15 0.11746 PSS NA NA NasiriPSS
04 0  15 15 0.146667 PSS NA NA NasiriPSS
04 1  15 15 0.135238 PSS NA NA NasiriPSS
04 2  15 15 0.146667 PSS NA NA NasiriPSS
04 3  15 15 0.16127 PSS NA NA NasiriPSS
04 4  15 15 0.140952 PSS NA NA NasiriPSS
04 5  15 15 0.0952381 PSS NA NA NasiriPSS
04 6  15 15 0.11873 PSS NA NA NasiriPSS
04 7  15 15 0.148571 PSS NA NA NasiriPSS
04 8  15 15 0.150476 PSS NA NA NasiriPSS
04 9  15 15 0.11746 PSS NA NA NasiriPSS
05 0  15 15 0.146667 PSS NA NA NasiriPSS
05 1  15 15 0.135238 PSS NA NA NasiriPSS
05 2  15 15 0.146667 PSS NA NA NasiriPSS
05 3  15 15 0.16127 PSS NA NA NasiriPSS
05 4  15 15 0.140952 PSS NA NA NasiriPSS
05 5  15 15 0.0952381 PSS NA NA NasiriPSS
05 6  15 15 0.11873 PSS NA NA NasiriPSS
05 7  15 15 0.148571 PSS NA NA NasiriPSS
