type test j m penaltys time
te 1 10 2 461.96 38.38
te 2 10 2 448.32 33.47
te 1 10 5 689.11 41.16
te 2 10 5 763.24 46.76
te 1 10 10 1276.23 68.14
te 2 10 10 1866.92 73.80
le 1 10 2 224.84 36.97
le 2 10 2 319.37 35.36
le 1 10 5 1719.63 51.30
le 2 10 5 967.73 49.74
le 1 10 10 364.39 51.99
le 2 10 10 249.85 69.81
tt 1 10 2 179.46 19.72
tt 2 10 2 145.37 44.94
tt 1 10 5 379.19 58.96
tt 2 10 5 627.45 52.23
tt 1 10 10 668.14 67.19
tt 2 10 10 777.85 60.98
lt 1 10 2 416.44 9.45
lt 2 10 2 137.94 13.76
lt 1 10 5 175.08 45.23
lt 2 10 5 485.06 51.90
lt 1 10 10 374.2 54.97
lt 2 10 10 144.94 52.73
te 1 15 2 3344.54 60.14
te 2 15 2 1479.76 62.18
te 1 15 5 1342.3 111.03
te 2 15 5 2630.06 308 
te 1 15 10 6820.87 119.53
te 2 15 10 4760.48 162.27
le 1 15 2 1041.33 56.73
le 2 15 2 497.97 308 
le 1 15 5 3220.16 308 
le 2 15 5 3260.81 134.43
le 1 15 10 906.49 167.90
le 2 15 10 1487.33 141.20
tt 1 15 2 790.5 74.91
tt 2 15 2 905.37 84.95
tt 1 15 5 1359.18 137.08
tt 2 15 5 681.27 175.06
tt 1 15 10 767.26 158.15
tt 2 15 10 1224.82 166.27
lt 1 15 2 654.84 72.83
lt 2 15 2 279.71 308 
lt 1 15 5 1281 133.23
lt 2 15 5 328.26 166.52
lt 1 15 10 277 102.40
lt 2 15 10 601.24 176.80
te 1 20 2 1936.45 127.92
te 2 20 2 941.69 603 
te 1 20 5 2865.95 202.42
te 2 20 5 6613.62 240.31
te 1 20 10 10378.8 301.42
te 2 20 10 6839.3 360.35
le 1 20 2 2548.95 123.41
le 2 20 2 3069.13 119.31
le 1 20 5 7524.13 309.63
le 2 20 5 7059.38 225.54
le 1 20 10 4651.31 300.09
le 2 20 10 1597.89 300.69
tt 1 20 2 1671.87 603 
tt 2 20 2 1448.66 603 
tt 1 20 5 3620.61 369.08
tt 2 20 5 1792.78 276.96
tt 1 20 10 4445.59 368.69
tt 2 20 10 3085.54 349.36
lt 1 20 2 1206.4 139.23
lt 2 20 2 769.35 136.06
lt 1 20 5 2931.11 265.64
lt 2 20 5 3627.51 280.08
lt 1 20 10 4817.32 421.29
lt 2 20 10 1401.28 397.56
