type1 type2 test j m lowerB makes penaltys earlPenaltys tarPenaltys
l e 1 10 10 334 334 6178.74 6178.74 0
l e 1 10 2  152 152 407.34 150.2 257.14
l e 1 10 5  608 608 4302 449.46 3852.54
l e 1 15 10 450 450 4491.59 3483.64 1007.95
l e 1 15 2  398 398 1592.19 45.58 1546.61
l e 1 15 5  677 686 5194.29 497.64 4696.65
l e 1 20 10 782 785 11203.3 3857.05 7346.21
l e 1 20 2  634 634 3378.02 48.29 3329.73
l e 1 20 5  1441 1441 15220 773.22 14446.8
l e 2 10 10 183 224 3850.69 3850.69 0
l e 2 10 2  285 285 660.65 522.69 137.96
l e 2 10 5  567 609 2051.49 1089.72 961.77
l e 2 15 10 487 494 9546.98 9522.39 24.59
l e 2 15 2  364 364 1051.85 564.69 487.16
l e 2 15 5  916 916 5207.95 1080.7 4127.25
l e 2 20 10 324 335 4231.99 2830.6 1401.39
l e 2 20 2  796 796 4258.86 435.99 3822.87
l e 2 20 5  1106 1106 12873 1529.16 11343.8
