type test j m lowerB makes penaltys earlPenaltys tarPenaltys
le 1 10 10 334 334 6178.74 6178.74 0
le 1 10 2 152 152 407.34 150.2 257.14
le 1 10 5 608 608 4302 449.46 3852.54
le 1 15 10 450 450 4491.59 3483.64 1007.95
le 1 15 2 398 398 1592.19 45.58 1546.61
le 1 15 5 677 686 5194.29 497.64 4696.65
le 1 20 10 782 785 11203.3 3857.05 7346.21
le 1 20 2 634 634 3378.02 48.29 3329.73
le 1 20 5 1441 1441 15220 773.22 14446.8
le 2 10 10 183 224 3850.69 3850.69 0
le 2 10 2 285 285 660.65 522.69 137.96
le 2 10 5 567 609 2051.49 1089.72 961.77
le 2 15 10 487 494 9546.98 9522.39 24.59
le 2 15 2 364 364 1051.85 564.69 487.16
le 2 15 5 916 916 5207.95 1080.7 4127.25
le 2 20 10 324 335 4231.99 2830.6 1401.39
le 2 20 2 796 796 4258.86 435.99 3822.87
le 2 20 5 1106 1106 12873 1529.16 11343.8
lt 1 10 10 401 449 2234.27 2234.27 0
lt 1 10 2 291 291 536.99 52.11 484.88
lt 1 10 5 223 242 903.12 903.12 0
lt 1 15 10 234 234 2528.75 2528.75 0
lt 1 15 2 364 364 1013.02 37.52 975.5
lt 1 15 5 555 555 2628.71 307.86 2320.85
lt 1 20 10 603 613 9330.86 483.7 8847.16
lt 1 20 2 514 514 2114.42 206.56 1907.86
lt 1 20 5 622 622 5406 429.95 4976.05
lt 2 10 10 208 245 1034.51 1031.85 2.66
lt 2 10 2 280 280 297.24 160.87 136.37
lt 2 10 5 223 242 1097.93 114.09 983.84
lt 2 15 10 450 450 3198.87 527.78 2671.09
lt 2 15 2 364 364 615.45 365.01 250.44
lt 2 15 5 220 220 1271.19 1271.19 0
lt 2 20 10 543 543 3857.36 3405.55 451.81
lt 2 20 2 333 333 1438.61 103.13 1335.48
lt 2 20 5 495 495 5116.44 148.55 4967.89
te 1 10 10 571 629 5052.74 773.53 4279.21
te 1 10 2 355 355 830.87 317.2 513.67
te 1 10 5 287 287 1580.55 1387.07 193.48
te 1 15 10 670 677 11590.9 92.55 11498.4
te 1 15 2 1308 1308 5198.51 292.31 4906.2
te 1 15 5 340 340 2622.34 529.35 2092.99
te 1 20 10 671 691 13010.1 682.63 12327.5
te 1 20 2 481 481 2514.63 20.03 2494.6
te 1 20 5 478 478 4897.83 2768.26 2129.57
te 2 10 10 460 518 5937.84 5824.99 112.85
te 2 10 2 181 181 607.17 21.46 585.71
te 2 10 5 228 228 1074.33 116.41 957.92
te 2 15 10 754 796 12618.1 1790.37 10827.8
te 2 15 2 446 446 1793.07 11.74 1781.33
te 2 15 5 507 507 3967.08 202.85 3764.23
te 2 20 10 671 691 11555.9 7690.77 3865.14
te 2 20 2 311 311 1377.5 106.88 1270.62
te 2 20 5 834 834 10118.2 35.4 10082.8
tt 1 10 10 348 393 1698.67 903.14 795.53
tt 1 10 2 181 181 286.28 79.07 207.21
tt 1 10 5 287 287 726.62 725 1.62
tt 1 15 10 207 220 2576.84 2576.84 0
tt 1 15 2 469 469 1538.13 131.64 1406.49
tt 1 15 5 318 318 2473.71 112.53 2361.18
tt 1 20 10 536 564 8883.98 599.92 8284.06
tt 1 20 2 625 625 2963.34 146.44 2816.9
tt 1 20 5 468 468 5388.71 76.34 5312.37
tt 2 10 10 571 629 2660.26 2252.72 407.54
tt 2 10 2 216 216 299.32 221.44 77.88
tt 2 10 5 287 287 725.47 122.46 603.01
tt 2 15 10 426 433 4243.83 633.88 3609.95
tt 2 15 2 379 379 1321.84 11.09 1310.75
tt 2 15 5 340 340 1461.2 437.37 1023.83
tt 2 20 10 752 752 7959.49 2414.01 5545.48
tt 2 20 2 735 735 2014.06 427.89 1586.17
tt 2 20 5 478 478 3008.19 878.62 2129.57
